0,33977/321480,33977/160740,33977/80370,34967/53580,88547/107160
0,152977/1508220,152977/754110,152977/377055,18457/27930,93061/125685
0,11/210,11/105,22/105,58/105,81/140
0,24/595,48/595,96/595,643/1190,1611/2380
0,5/112,5/56,5/28,61/112,33/56
0,23/560,23/280,23/140,303/560,863/1120
0,24/595,48/595,96/595,643/1190,2103/2380
0,8/189,16/189,32/189,205/378,583/756
0,24/595,48/595,96/595,643/1190,1563/2380
0,1/14,1/7,2/7,4/7,17/28
0,1/14,1/7,2/7,4/7,5/7
0,1/14,1/7,2/7,4/7,9/14
0,1/14,1/7,2/7,4/7,11/14
0,1/14,1/7,2/7,4/7,25/28
0,1/14,1/7,2/7,4/7,19/28
0,43/1116,43/558,43/279,185/279,557/744
0,41/1044,41/522,41/261,347/522,869/1044
0,43/1116,43/558,43/279,185/279,2041/2232
0,29/816,29/408,29/204,287/408,695/816
0,1773/18920,1773/9460,1773/4730,5319/9460,10963/18920
0,837/8800,837/4400,837/2200,2511/4400,11311/17600
0,167/1760,167/880,167/440,501/880,1047/1760
0,837/8800,837/4400,837/2200,2511/4400,2597/3520
0,167/1760,167/880,167/440,501/880,607/880
0,1388/14575,2776/14575,5552/14575,8328/14575,9237/14575
0,551/5775,1102/5775,2204/5775,1102/1925,3027/3850
0,1388/14575,2776/14575,5552/14575,8328/14575,25889/29150
0,167/1760,167/880,167/440,501/880,1381/1760
0,1388/14575,2776/14575,5552/14575,8328/14575,19917/29150
0,1773/18920,1773/9460,1773/4730,5319/9460,1319/1720
0,661/6930,661/3465,1322/3465,661/1155,2644/3465
0,1388/14575,2776/14575,5552/14575,8328/14575,2114/2915
0,551/5775,1102/5775,2204/5775,1102/1925,10183/11550
0,551/5775,1102/5775,2204/5775,1102/1925,551/825
0,208/2871,416/2871,832/2871,8603/11484,779/957
0,1345/18612,1345/9306,1345/4653,3482/4653,8135/9306
0,208/2871,416/2871,832/2871,8603/11484,10739/11484
0,1201/18480,1201/9240,1201/4620,359/462,821/924
0,1118/10575,2236/10575,4472/10575,8944/10575,3121/3525
0,451/4275,902/4275,1804/4275,3608/4275,7883/8550
0,1118/10575,2236/10575,4472/10575,8944/10575,10156/10575
0,401/3780,401/1890,401/945,802/945,1747/1890
0,2707/23490,2707/11745,5414/11745,38977/46980,54677/62640
0,653/5670,653/2835,1306/2835,1879/2268,4147/4536
0,2707/23490,2707/11745,5414/11745,38977/46980,179797/187920
0,1349/11700,1349/5850,1349/2925,19469/23400,42869/46800
0,14158/130305,28316/130305,56632/130305,328772/390915,350009/390915
0,281/2550,281/1275,562/1275,3208/3825,1124/1275
0,809/6885,1618/6885,3236/6885,7583/9180,95947/110160
0,47/420,47/210,47/105,2101/2520,199/210
0,29/252,29/126,29/63,10439/12600,58/63
0,634/5355,1268/5355,2536/5355,2519/3060,37921/42840
0,91991/817020,91991/408510,91991/204255,4088153/4902120,195848/204255
0,2561/21420,2561/10710,2561/5355,5041/6120,5122/5355
0,2861/23562,2861/11781,5722/11781,3515/4284,177239/188496
0,281/2550,281/1275,562/1275,9641/11475,10558/11475
0,1369/11934,1369/5967,2738/5967,4985/5967,5476/5967
0,9161/76500,9161/38250,9161/19125,126229/153000,279229/306000
0,1/12,1/6,1/3,2/3,3/4
0,1/12,1/6,1/3,2/3,5/6
0,1/12,1/6,1/3,2/3,11/12
0,257/2300,257/1150,257/575,416/575,3661/4600
0,101/900,101/450,101/225,163/225,194/225
0,257/2300,257/1150,257/575,416/575,4267/4600
0,31/280,31/140,31/70,101/140,241/280
0,1667/16240,1667/8120,1667/4060,5727/8120,13609/16240
0,277/2660,277/1330,277/665,471/665,554/665
0,1493/13440,1493/6720,1493/3360,4853/6720,179/224
0,121/1120,121/560,121/280,401/560,261/280
0,121/1080,121/540,121/270,391/540,121/135
0,101/900,101/450,101/225,163/225,73/90
0,4973/46200,4973/23100,4973/11550,16523/23100,21257/23100
0,173/1512,173/756,173/378,551/756,173/189
0,145/1232,145/616,145/308,453/616,2229/2464
0,523/5040,523/2520,523/1260,1783/2520,4303/5040
0,3/28,3/14,3/7,5/7,6/7
0,173/1512,173/756,173/378,551/756,1307/1512
0,3559/22680,3559/11340,9193/22680,11807/22680,24979/45360
0,5909/36960,5909/18480,15053/36960,6579/12320,22903/36960
0,10429/65520,10429/32760,26653/65520,5807/10920,75949/131040
0,15347/99540,15347/49770,124697/298620,8801/16590,814439/1194480
0,8873/55440,8873/27720,22601/55440,2477/4620,36593/55440
0,1277/7980,1277/3990,8941/21945,15647/29260,104983/175560
0,401/2520,401/1260,1669/4200,1129/2100,587/800
0,13681/85680,13681/42840,34967/85680,3809/7140,120647/171360
0,61319/383460,61319/191730,156293/383460,1551/2905,952157/1533840
0,5909/36960,5909/18480,15053/36960,6579/12320,18899/24640
0,61319/383460,61319/191730,156293/383460,1551/2905,112611/127820
0,13681/85680,13681/42840,34967/85680,3809/7140,10949/14280
0,61319/383460,61319/191730,156293/383460,1551/2905,83453/127820
0,1345/9912,1345/4956,3889/9912,212/413,22045/39648
0,1669/12040,1669/6020,4779/12040,311/602,1669/3010
0,63/400,63/200,1137/2800,311/600,2327/4200
0,3981/27160,3981/13580,5493/13580,42793/81480,13369/21728
0,893/5782,893/2891,4743/11564,18239/34692,1786/2891
0,2683/16170,2683/8085,13247/32340,1573/2940,4993/8085
0,1973/14280,1973/7140,5659/14280,1843/3570,16253/28560
0,1/7,2/7,113/280,73/140,4/7
0,3757/23520,3757/11760,9589/23520,8259/15680,27277/47040
0,2939171/18833892,2939171/9416946,1325641/3138982,10103809/18833892,17215025/25111856
