"[0, 44134/108225, 47428/108225, 152359/216450, 88268/108225, 706723/757575, 732149/757575]","[0, 1, 60797/64091, 1/2, 19957/64091, 50852/448637, 25426/448637]"
"[0, 44134/108225, 47428/108225, 152359/216450, 88268/108225, 706723/757575, 732149/757575]","[0, 22067/23714, 1, 64091/121594, 19957/60797, 50852/425579, 25426/425579]"
"[0, 44134/108225, 47428/108225, 152359/216450, 88268/108225, 706723/757575, 732149/757575]","[0, 88268/152359, 94856/152359, 1, 39914/64091, 101704/448637, 50852/448637]"
"[0, 44134/108225, 47428/108225, 152359/216450, 88268/108225, 706723/757575, 732149/757575]","[0, 1/2, 11857/22067, 152359/176536, 1, 50852/139699, 25426/139699]"
"[0, 44134/108225, 47428/108225, 152359/216450, 88268/108225, 706723/757575, 732149/757575]","[0, 308938/706723, 331996/706723, 1066513/1413446, 617876/706723, 1, 1/2]"
"[0, 44134/108225, 47428/108225, 152359/216450, 88268/108225, 706723/757575, 732149/757575]","[0, 308938/732149, 331996/732149, 1066513/1464298, 617876/732149, 706723/732149, 1]"
"[0, 16699/40950, 1709/3900, 57649/81900, 16699/20475, 38203/40950, 11501/11700]","[0, 1, 46011/48502, 1/2, 7552/24251, 2747/24251, 1393/48502]"
"[0, 16699/40950, 1709/3900, 57649/81900, 16699/20475, 38203/40950, 11501/11700]","[0, 33398/35889, 1, 24251/46011, 15104/46011, 5494/46011, 199/6573]"
"[0, 16699/40950, 1709/3900, 57649/81900, 16699/20475, 38203/40950, 11501/11700]","[0, 33398/57649, 35889/57649, 1, 15104/24251, 5494/24251, 1393/24251]"
"[0, 16699/40950, 1709/3900, 57649/81900, 16699/20475, 38203/40950, 11501/11700]","[0, 1/2, 35889/66796, 57649/66796, 1, 2747/7552, 1393/15104]"
"[0, 16699/40950, 1709/3900, 57649/81900, 16699/20475, 38203/40950, 11501/11700]","[0, 16699/38203, 35889/76406, 57649/76406, 33398/38203, 1, 1393/5494]"
