"[0, 1583/21888, 145/1368, 1/4, 1249/3648, 1/2, 1783/2736]","[0, 1, 19568/20305, 16416/20305, 14394/20305, 10944/20305, 7624/20305]"
"[0, 1583/21888, 145/1368, 1/4, 1249/3648, 1/2, 1783/2736]","[0, 1583/2320, 1, 1026/1223, 7197/9784, 684/1223, 953/2446]"
"[0, 1583/21888, 145/1368, 1/4, 1249/3648, 1/2, 1783/2736]","[0, 1583/5472, 145/342, 1, 2399/2736, 2/3, 953/2052]"
"[0, 1583/21888, 145/1368, 1/4, 1249/3648, 1/2, 1783/2736]","[0, 1583/7494, 1160/3747, 912/1249, 1, 1824/2399, 3812/7197]"
"[0, 1583/21888, 145/1368, 1/4, 1249/3648, 1/2, 1783/2736]","[0, 1583/10944, 145/684, 1/2, 1249/1824, 1, 953/1368]"
"[0, 1583/21888, 145/1368, 1/4, 1249/3648, 1/2, 1783/2736]","[0, 1583/14264, 290/1783, 684/1783, 3747/7132, 1368/1783, 1]"
"[0, 19/480, 23/360, 1/4, 43/144, 1/2, 5/8]","[0, 1, 1348/1383, 360/461, 1010/1383, 240/461, 180/461]"
"[0, 19/480, 23/360, 1/4, 43/144, 1/2, 5/8]","[0, 57/92, 1, 270/337, 505/674, 180/337, 135/337]"
"[0, 19/480, 23/360, 1/4, 43/144, 1/2, 5/8]","[0, 19/120, 23/90, 1, 101/108, 2/3, 1/2]"
"[0, 19/480, 23/360, 1/4, 43/144, 1/2, 5/8]","[0, 57/430, 46/215, 36/43, 1, 72/101, 54/101]"
"[0, 19/480, 23/360, 1/4, 43/144, 1/2, 5/8]","[0, 19/240, 23/180, 1/2, 43/72, 1, 3/4]"
"[0, 19/480, 23/360, 1/4, 43/144, 1/2, 5/8]","[0, 19/300, 23/225, 2/5, 43/90, 4/5, 1]"
"[0, 13/256, 21/256, 1/4, 5/16, 1/2, 5/8]","[0, 1, 235/243, 64/81, 176/243, 128/243, 32/81]"
"[0, 13/256, 21/256, 1/4, 5/16, 1/2, 5/8]","[0, 13/21, 1, 192/235, 176/235, 128/235, 96/235]"
"[0, 13/256, 21/256, 1/4, 5/16, 1/2, 5/8]","[0, 13/64, 21/64, 1, 11/12, 2/3, 1/2]"
"[0, 13/256, 21/256, 1/4, 5/16, 1/2, 5/8]","[0, 13/80, 21/80, 4/5, 1, 8/11, 6/11]"
"[0, 13/256, 21/256, 1/4, 5/16, 1/2, 5/8]","[0, 13/128, 21/128, 1/2, 5/8, 1, 3/4]"
"[0, 13/256, 21/256, 1/4, 5/16, 1/2, 5/8]","[0, 13/160, 21/160, 2/5, 1/2, 4/5, 1]"
"[0, 47/704, 13/132, 1/4, 355/1056, 1/2, 5/8]","[0, 1, 1904/1971, 176/219, 1402/1971, 352/657, 88/219]"
"[0, 47/704, 13/132, 1/4, 355/1056, 1/2, 5/8]","[0, 141/208, 1, 99/119, 701/952, 66/119, 99/238]"
"[0, 47/704, 13/132, 1/4, 355/1056, 1/2, 5/8]","[0, 47/176, 13/33, 1, 701/792, 2/3, 1/2]"
"[0, 47/704, 13/132, 1/4, 355/1056, 1/2, 5/8]","[0, 141/710, 104/355, 264/355, 1, 528/701, 396/701]"
"[0, 47/704, 13/132, 1/4, 355/1056, 1/2, 5/8]","[0, 47/352, 13/66, 1/2, 355/528, 1, 3/4]"
"[0, 47/704, 13/132, 1/4, 355/1056, 1/2, 5/8]","[0, 47/440, 26/165, 2/5, 71/132, 4/5, 1]"
"[0, 691/10560, 257/2640, 1/4, 1/3, 1/2, 137/240]","[0, 1, 9532/9869, 7920/9869, 7040/9869, 5280/9869, 4532/9869]"
"[0, 691/10560, 257/2640, 1/4, 1/3, 1/2, 137/240]","[0, 691/1028, 1, 1980/2383, 1760/2383, 1320/2383, 1133/2383]"
"[0, 691/10560, 257/2640, 1/4, 1/3, 1/2, 137/240]","[0, 691/2640, 257/660, 1, 8/9, 2/3, 103/180]"
"[0, 691/10560, 257/2640, 1/4, 1/3, 1/2, 137/240]","[0, 691/3520, 257/880, 3/4, 1, 3/4, 103/160]"
"[0, 691/10560, 257/2640, 1/4, 1/3, 1/2, 137/240]","[0, 691/5280, 257/1320, 1/2, 2/3, 1, 103/120]"
"[0, 691/10560, 257/2640, 1/4, 1/3, 1/2, 137/240]","[0, 691/6028, 257/1507, 60/137, 80/137, 120/137, 1]"
"[0, 31/528, 197/2112, 1/4, 679/2112, 1/2, 1465/2112]","[0, 1, 1915/1988, 396/497, 1433/1988, 264/497, 647/1988]"
"[0, 31/528, 197/2112, 1/4, 679/2112, 1/2, 1465/2112]","[0, 124/197, 1, 1584/1915, 1433/1915, 1056/1915, 647/1915]"
"[0, 31/528, 197/2112, 1/4, 679/2112, 1/2, 1465/2112]","[0, 31/132, 197/528, 1, 1433/1584, 2/3, 647/1584]"
"[0, 31/528, 197/2112, 1/4, 679/2112, 1/2, 1465/2112]","[0, 124/679, 197/679, 528/679, 1, 1056/1433, 647/1433]"
"[0, 31/528, 197/2112, 1/4, 679/2112, 1/2, 1465/2112]","[0, 31/264, 197/1056, 1/2, 679/1056, 1, 647/1056]"
"[0, 31/528, 197/2112, 1/4, 679/2112, 1/2, 1465/2112]","[0, 124/1465, 197/1465, 528/1465, 679/1465, 1056/1465, 1]"
"[0, 139/1848, 103/924, 1/4, 80/231, 1/2, 160/231]","[0, 1, 1642/1709, 1386/1709, 1208/1709, 924/1709, 568/1709]"
"[0, 139/1848, 103/924, 1/4, 80/231, 1/2, 160/231]","[0, 139/206, 1, 693/821, 604/821, 462/821, 284/821]"
"[0, 139/1848, 103/924, 1/4, 80/231, 1/2, 160/231]","[0, 139/462, 103/231, 1, 604/693, 2/3, 284/693]"
"[0, 139/1848, 103/924, 1/4, 80/231, 1/2, 160/231]","[0, 139/640, 103/320, 231/320, 1, 231/302, 71/151]"
"[0, 139/1848, 103/924, 1/4, 80/231, 1/2, 160/231]","[0, 139/924, 103/462, 1/2, 160/231, 1, 142/231]"
"[0, 139/1848, 103/924, 1/4, 80/231, 1/2, 160/231]","[0, 139/1280, 103/640, 231/640, 1/2, 231/320, 1]"
"[0, 1415/17712, 127/1107, 1/4, 1565/4428, 1/2, 6125/8856]","[0, 1, 15680/16297, 13284/16297, 11452/16297, 8856/16297, 5462/16297]"
"[0, 1415/17712, 127/1107, 1/4, 1565/4428, 1/2, 6125/8856]","[0, 1415/2032, 1, 3321/3920, 409/560, 1107/1960, 2731/7840]"
