0,265/756,755/2016,2059/3024,2335/3024,2405/3024,275/336
0,2834/7931,18511/47586,5441/7931,19295/23793,39353/47586,41623/47586
0,1765/4998,1269/3332,569/833,1970/2499,4073/4998,701/833
0,4481/12768,795/2128,2173/3192,1231/1596,3481/4256,5731/6384
0,3331/9408,3581/9408,1607/2352,619/784,7673/9408,1403/1568
0,4745/13356,3421/8904,18281/26712,21331/26712,7241/8904,2861/3339
0,1543/4368,1661/4368,2983/4368,1147/1456,445/546,991/1092
0,5692/16107,12235/32214,21997/32214,8453/10738,13124/16107,61403/64428
0,52/147,1117/2940,502/735,193/245,1199/1470,2669/2940
0,5692/16107,12235/32214,21997/32214,8453/10738,13124/16107,18507/21476
0,12881/35700,8497/21420,24589/35700,89009/107100,46967/53550,9601/10710
0,54074/150381,3549751/9022860,517079/751905,1855918/2255715,2021309/2255715,28251/30380
0,3015/8372,37196/94185,554/805,77837/94185,167177/188370,86011/94185
0,373/1036,460217/1165500,44557/64750,481567/582750,258628/291375,550003/582750
0,23949/66500,236297/598500,22881/33250,49463/59850,132826/149625,23263/23940
0,3803/10556,93781/237510,9081/13195,98156/118755,210941/237510,448451/475020
0,23949/66500,236297/598500,22881/33250,49463/59850,132826/149625,182743/199500
0,7331/20370,16091/40740,14017/20370,5611/6790,34387/40740,8954/10185
0,52/147,1117/2940,502/735,193/245,1237/1470,2669/2940
0,218/609,5693/14616,418/609,2969/3654,1027/1218,6623/7308
0,1237/3465,899/2310,2377/3465,2809/3465,2921/3465,3193/3465
0,2998/8393,19573/50358,5757/8393,20399/25179,7075/8393,32233/33572
0,961/2688,3133/8064,461/672,1633/2016,1133/1344,2477/2688
0,2998/8393,19573/50358,5757/8393,20399/25179,7075/8393,29639/33572
0,74017/206346,1211347/3095190,354401/515865,1264757/1547595,1406176/1547595,1922671/2063460
0,27907/77826,456877/1167390,133661/194565,476897/583695,530296/583695,1113991/1167390
0,74017/206346,1211347/3095190,354401/515865,1264757/1547595,1406176/1547595,6047071/6190380
0,407/1134,74/189,1948/2835,2318/2835,5153/5670,10823/11340
0,2633/7320,297733/768600,87919/128100,624481/768600,354541/384300,482767/512400
0,187/520,63449/163800,112417/163800,66529/81900,75557/81900,157457/163800
0,2633/7320,297733/768600,87919/128100,624481/768600,354541/384300,1507063/1537200
0,53/147,2909/7560,2689/3920,12241/15120,49333/52920,102253/105840
0,421/1176,37879/97020,793/1155,39509/48510,41707/48510,85739/97020
0,3232/9135,29767/78300,31201/45675,107962/137025,119486/137025,18579/20300
0,34379/96600,111689/289800,1654/2415,29023/36225,125507/144900,32624/36225
0,4825/13566,78371/203490,7741/11305,81451/101745,176251/203490,379741/406980
0,34355/96558,557533/1448370,165289/241395,579653/724185,1254443/1448370,2798989/2896740
0,299/840,4849/12600,719/1050,2521/3150,2729/3150,5879/6300
0,34355/96558,557533/1448370,165289/241395,579653/724185,1254443/1448370,78989/87780
0,277/784,299/784,1607/2352,299/392,619/784,40/49
0,5836/16065,863/2142,11099/16065,863/1071,26527/32130,11239/12852
0,1349/3780,983/2520,1297/1890,983/1260,767/945,3187/3780
0,3331/9408,3581/9408,1607/2352,3581/4704,7673/9408,1403/1568
0,261/728,320/819,125/182,640/819,5323/6552,1459/1638
0,416/1155,457/1155,12721/18480,914/1155,14953/18480,1433/1680
0,5/14,30/77,317/462,60/77,125/154,279/308
0,688/1925,899/2310,5283/7700,899/1155,18743/23100,4399/4620
0,218/609,5693/14616,418/609,5693/7308,2969/3654,6623/7308
0,688/1925,899/2310,5283/7700,899/1155,18743/23100,1654/1925
0,9287/25116,157259/376740,21851/31395,157259/188370,331529/376740,6512/7245
0,2351/6384,158309/383040,44347/63840,158309/191520,21509/23940,11327/12160
0,661/1792,167351/403200,31147/44800,167351/201600,179443/201600,368951/403200
0,1079/2926,300584/724185,55938/80465,601168/724185,1289293/1448370,2737663/2896740
0,29347/79534,742906/1789515,10634/15295,1485812/1789515,3186647/3579030,13920587/14316120
0,9201/24920,58204/140175,21661/31150,116408/140175,999077/1121400,2120477/2242800
0,29347/79534,742906/1789515,10634/15295,1485812/1789515,3186647/3579030,4380707/4772040
0,1625/4424,10945/26544,3071/4424,10945/13272,7495/8848,46723/53088
