0,337/994,7547/19880,6301/14910,337/497,13947/19880,6301/7455
0,20809/60984,72799/182952,1915/4158,20809/30492,130897/182952,77743/91476
0,19/56,31/84,337/840,19/28,29/42,47/56
0,179/525,6371/16800,883/2100,358/525,781/1120,883/1050
0,7685/22344,8879/22344,2561/5586,7685/11172,15853/22344,18857/22344
0,227/660,3671/9240,1061/2310,227/330,437/616,19/24
0,197/576,223/576,253/576,197/288,45/64,541/576
0,399/1160,139/348,403/870,399/580,619/870,403/435
0,1823/5280,1073/2640,631/1320,1823/2640,63/88,2207/2640
0,7057/20664,11881/30996,13361/30996,7057/10332,10853/15498,7132/7749
0,29531/85848,5703/14308,19781/42924,29531/42924,15251/21462,19781/21462
0,10721/31080,2097/5180,4913/10360,10721/15540,1111/1554,28043/31080
0,1259/3710,2063/5565,3001/7420,1259/1855,3851/5565,4708/5565
0,2693/7896,251/658,6709/15792,2693/3948,2761/3948,6709/7896
0,34367/99960,391/980,23081/49980,34367/49980,17777/24990,42767/49980
0,341/1008,367/1008,395/1008,341/504,11/16,821/1008
0,297/875,1949/5250,1419/3500,594/875,727/1050,1419/1750
0,6037/17556,1165/2926,8095/17556,6037/8778,3118/4389,14027/17556
0,2017/5904,33/82,347/738,2017/2952,115/164,2123/2952
0,829/2412,757/1809,833/1809,829/1206,1283/1809,11389/14472
0,481/1400,44/105,487/1050,481/700,149/210,1537/2100
0,43/126,221/504,473/1008,43/63,725/1008,143/168
0,11/32,101/240,221/480,11/16,341/480,27/32
0,755/2196,691/1647,758/1647,755/1098,1169/1647,10241/13176
0,359/1044,329/783,361/783,359/522,556/783,1339/1566
0,301/876,829/1971,908/1971,301/438,1400/1971,7301/7884
0,151/440,14/33,61/132,151/220,47/66,113/132
0,301/876,829/1971,908/1971,301/438,1400/1971,229/292
0,19525/58176,285/808,857/1818,19525/29088,1093/1616,5243/7272
0,4787/14240,1909/5340,1243/2670,4787/7120,7249/10680,1909/2670
0,3575/10464,3677/9156,311/654,3575/5232,12833/18312,1660/2289
0,50969/150304,21325/56364,25555/56364,50969/75152,77689/112728,4079/5124
0,97267/284928,14113/35616,16279/35616,97267/142464,49729/71232,14113/17808
0,184979/534912,86771/200592,31543/66864,184979/267456,287363/401184,319273/401184
0,5109/15200,407/1140,1327/2850,5109/7600,1547/2280,4177/5700
