0,1/2,47/80,27/40
0,1/2,43/64,51/64
0,1/2,5/8,3/4
0,1/2,19/30,49/60
0,1/2,19/30,65/72
0,1/2,23/36,59/72
0,1/2,19/30,263/360
0,1/2,3/4,59/72
0,1/2,3/4,7/8
0,1/2,3/4,67/72
0,1/2,23/28,195/224
0,1/2,33/40,73/80
0,1/2,23/28,213/224
0,1/2,17/20,37/40
0,67/110,149/220,41/55
0,103/170,63/85,571/680
0,23/36,35/48,59/72
0,23/39,109/156,265/312
0,67/114,53/76,839/912
0,33/52,153/208,361/416
0,67/114,53/76,709/912
0,33/52,85/104,361/416
0,23/36,59/72,131/144
0,33/52,85/104,395/416
0,37/54,91/108,199/216
0,91/150,43/50,539/600
0,67/110,19/22,41/44
0,91/150,43/50,577/600
0,7/11,157/176,333/352
0,13/36,67/126,205/336
0,149/450,509/900,869/1200
0,17/48,11/20,65/96
0,5/14,5/9,7/9
0,347/966,269/483,428/483
0,121/336,47/84,131/168
0,347/966,269/483,108/161
0,61/210,113/210,517/840
0,191/624,43/78,191/312
0,521/1368,91/171,847/1368
0,13/40,269/480,349/480
0,2383/6600,464/825,2383/3300
0,3629/9360,1289/2340,851/1170
0,247/816,28/51,1063/1632
0,1/3,31/54,2/3
0,121/312,43/78,433/624
0,95/288,163/288,239/288
0,17/48,5/9,17/24
0,257/660,179/330,109/165
0,1337/3840,1079/1920,3349/3840
0,67/160,8/15,67/80
0,1669/3800,499/950,777/950
0,4709/13800,977/1725,1351/1725
0,201/520,71/130,201/260
0,1147/2720,181/340,521/680
0,13/40,4/7,151/210
0,41/120,169/300,41/60
0,4279/10920,106/195,1817/2730
0,1/4,1/2,41/72
0,1/4,1/2,49/72
0,1/4,1/2,5/8
0,1/4,1/2,3/4
0,1/4,1/2,7/8
0,5/28,5/14,123/224
0,5/36,5/18,1/2
0,11/112,11/56,5/14
0,5/28,5/14,141/224
0,3/20,3/10,23/40
0,7/50,7/25,259/600
0,7/50,7/25,16/25
0,3/22,3/11,179/220
0,5/36,5/18,23/36
0,3/22,3/11,101/220
0,367/3808,367/1904,125/238
0,337/2520,337/1260,337/630
0,1441/7560,1441/3780,1387/2520
0,3/40,3/20,1/2
0,1/8,1/4,1/2
0,13/72,13/36,1/2
0,19/352,19/176,4/11
0,17/216,17/108,17/54
0,55/416,55/208,19/52
0,31/280,31/140,491/840
0,253/1638,253/819,506/819
0,106/525,212/525,13663/21000
0,16/189,32/189,205/378
0,1/7,2/7,4/7
0,83/420,83/210,503/840
0,17/280,17/140,11/28
0,5/56,5/28,5/14
0,59/350,59/175,629/1400
0,5/48,5/24,17/24
0,3/20,3/10,3/5
0,13/72,13/36,13/24
0,89/780,89/390,307/390
0,37/180,37/90,37/45
0,37/168,37/84,269/336
0,7/72,7/36,43/72
0,1/6,1/3,2/3
0,37/180,37/90,127/180
0,5/72,5/36,31/72
0,13/126,13/63,26/63
0,13/75,26/75,151/300
0,13/75,44/75,209/300
0,13/75,44/75,119/150
0,13/75,44/75,89/100
0,8/45,53/90,143/180
0,3/10,49/60,13/15
0,3/10,37/45,41/45
0,3/10,49/60,19/20
0,7/24,31/36,67/72
0,3/10,49/120,139/240
0,1/4,11/32,1/2
0,7/36,4/15,7/18
0,23/90,7/18,79/120
0,29/112,5/14,141/224
0,25/98,17/49,193/392
0,25/98,17/49,33/49
0,61/238,41/119,99/119
0,21/80,7/20,27/40
0,61/238,41/119,61/119
0,181/756,269/756,125/216
0,149/510,407/1020,149/255
0,347/966,119/276,1157/1932
0,7/40,21/80,1/2
0,1/4,3/8,1/2
0,13/40,33/80,1/2
0,3/22,9/44,43/110
0,13/72,13/48,13/36
0,14/55,71/220,43/110
0,1363/5208,37/93,3449/5208
0,569/1632,23/51,569/816
0,323/840,97/210,149/210
0,269/1140,20/57,1409/2280
0,1/3,23/54,2/3
0,121/312,35/78,433/624
0,17/84,9/28,85/168
0,101/420,37/105,101/210
0,34/105,167/420,221/420
0,5/24,23/72,17/24
0,29/112,5/14,29/56
0,19/60,7/18,23/45
0,1/4,11/32,155/192
0,497/1248,35/78,497/624
0,173/408,47/102,401/510
0,511/2040,89/255,172/255
0,283/792,85/198,283/396
0,193/480,9/20,29/40
0,391/1848,74/231,251/462
0,61/240,17/48,61/120
0,613/1848,92/231,251/462
0,19/112,115/504,551/1008
0,1909/9240,643/2310,643/1155
0,437/1512,587/1512,2179/3780
0,29/224,5/28,1/2
0,13/72,1/4,1/2
0,97/360,11/30,1/2
0,61/600,7/50,59/150
0,55/416,19/104,19/52
0,203/912,23/76,47/114
0,17/105,31/126,38/63
0,93/448,425/1344,425/672
0,53/196,1921/4704,3149/4704
0,9/56,73/336,65/112
0,71/315,193/630,193/315
0,277/924,937/2310,1201/1848
0,172/1365,232/1365,1243/2730
0,38/231,103/462,103/231
0,2743/9744,1847/4872,20459/38976
0,1/5,11/40,31/40
0,29/112,5/14,5/7
0,47/156,16/39,8/13
0,53/252,2/7,101/126
0,91/300,31/75,62/75
0,53/161,214/483,775/966
0,15/88,31/132,163/264
0,13/54,1/3,2/3
0,21/68,106/255,361/510
0,2/15,11/60,29/60
0,7/40,29/120,29/60
0,55/192,37/96,107/192
0,109/510,55/102,235/408
0,25/126,5/9,149/216
0,127/624,43/78,751/1248
0,25/126,5/9,7/9
0,191/966,269/483,428/483
0,67/336,47/84,131/168
0,191/966,269/483,108/161
0,11/40,11/20,287/480
0,61/210,61/105,201/280
0,113/396,113/198,509/792
0,61/210,61/105,83/105
0,149/510,149/255,911/1020
0,53/180,53/90,143/180
0,149/510,149/255,47/68
0,4/9,5/9,31/48
0,121/312,191/312,157/208
0,53/126,73/126,179/252
0,31/75,44/75,119/150
0,31/75,44/75,89/100
0,37/90,53/90,143/180
0,31/75,44/75,209/300
0,299/840,541/840,27/35
0,133/360,227/360,133/180
0,33/80,47/80,89/120
0,37/96,59/96,85/96
0,37/90,53/90,37/45
0,37/84,47/84,121/168
0,233/600,367/600,541/600
0,31/70,39/70,31/35
0,51/110,59/110,741/880
0,181/495,314/495,809/990
0,2/5,3/5,4/5
0,121/270,149/270,419/540
0,227/525,298/525,1441/2100
0,5/28,1/2,123/224
0,2/15,1/2,79/120
0,3/20,1/2,23/40
0,2/15,1/2,3/4
0,9/70,1/2,61/70
0,1/8,1/2,3/4
0,9/70,1/2,22/35
0,11/30,1/2,43/72
0,21/64,1/2,45/64
0,13/36,1/2,49/72
0,11/30,1/2,3/4
0,13/35,1/2,61/70
0,3/8,1/2,3/4
0,13/35,1/2,22/35
0,5/18,1/2,173/288
0,53/180,1/2,53/90
0,47/120,1/2,73/120
0,473/1560,1/2,1087/1560
0,179/504,1/2,179/252
0,115/288,1/2,13/18
0,73/252,1/2,325/504
0,1/3,1/2,2/3
0,37/90,1/2,127/180
0,13/40,1/2,33/40
0,13/36,1/2,13/18
0,13/32,1/2,21/32
0,41/120,1/2,13/15
0,17/40,1/2,17/20
0,101/224,1/2,23/28
0,23/72,1/2,3/4
0,31/72,1/2,3/4
0,19/64,1/2,43/64
0,23/72,1/2,23/36
0,29/72,1/2,19/30
0,11/80,31/80,43/80
0,3/32,11/32,1/2
0,13/180,4/15,7/18
0,13/120,49/120,151/240
0,5/48,17/48,53/96
0,23/204,65/204,361/816
0,9/98,17/49,33/49
0,3/34,41/119,99/119
0,7/80,7/20,27/40
0,3/34,41/119,61/119
0,61/840,43/210,109/210
0,397/4256,279/1064,279/532
0,1699/12936,204/539,2305/4312
0,11/224,5/28,1/2
0,5/72,1/4,1/2
0,7/72,11/30,1/2
0,23/600,7/50,59/150
0,21/416,19/104,19/52
0,73/912,23/76,47/114
0,185/2772,1363/5544,1615/2772
0,43/525,631/2100,631/1050
0,751/7182,5741/14364,18071/28728
0,5/91,279/1456,48/91
0,6/77,83/308,83/154
0,3/28,23/60,31/56
0,3/70,3/20,29/70
0,19/336,11/56,11/28
0,145/1274,881/2548,2355/5096
0,3/40,11/40,31/40
0,11/112,5/14,5/7
0,17/156,16/39,8/13
0,19/252,2/7,101/126
0,11/100,31/75,62/75
0,55/483,214/483,775/966
0,17/264,31/132,163/264
0,5/54,1/3,2/3
0,109/1020,106/255,361/510
0,1/20,11/60,29/60
0,1/15,29/120,29/60
0,19/192,37/96,107/192
0,41/288,95/144,3/4
0,14/99,131/198,329/396
0,41/288,95/144,131/144
0,17/132,185/264,449/528
0,29/120,91/120,33/40
0,5/21,16/21,37/42
0,29/120,91/120,14/15
0,13/63,50/63,113/126
0,101/264,101/132,73/88
0,37/96,37/48,85/96
0,101/264,101/132,247/264
0,29/72,29/36,65/72
0,359/828,631/828,911/1104
0,125/288,55/72,127/144
0,359/828,631/828,3103/3312
0,85/192,19/24,43/48
0,25/63,95/126,88/105
0,47/112,263/336,47/56
0,457/1008,389/504,93/112
0,5/12,23/30,11/12
0,4/9,115/144,8/9
0,179/390,307/390,133/156
0,1157/2772,4181/5544,2587/2772
0,43/91,1177/1456,86/91
0,101/210,167/210,779/840
0,349/840,109/140,249/280
0,173/378,157/189,173/189
0,113/238,1537/1904,3441/3808
0,1/3,2/3,41/54
0,1/3,2/3,5/6
0,1/3,2/3,49/54
0,44/105,149/210,661/840
0,44/105,149/210,359/420
0,44/105,149/210,155/168
0,53/126,179/252,431/504
0,247/672,919/1344,355/448
0,122/315,437/630,244/315
0,512/1155,1667/2310,7331/9240
0,47/120,167/240,107/120
0,53/126,179/252,53/63
0,59/132,191/264,427/528
0,419/1050,1469/2100,482/525
0,71/154,225/308,71/77
0,253/532,785/1064,3859/4256
0,313/819,566/819,1385/1638
0,3/7,5/7,6/7
0,293/630,923/1260,2183/2520
