"[0, 47/240, 101/330, 47/120, 95/176, 577/880]","[0, 1, 1832/2123, 146/193, 1215/2123, 909/2123]"
"[0, 47/240, 101/330, 47/120, 95/176, 577/880]","[0, 517/808, 1, 803/916, 1215/1832, 909/1832]"
"[0, 47/240, 101/330, 47/120, 95/176, 577/880]","[0, 1/2, 404/517, 1, 1215/1606, 909/1606]"
"[0, 47/240, 101/330, 47/120, 95/176, 577/880]","[0, 517/1425, 808/1425, 1034/1425, 1, 101/135]"
"[0, 47/240, 101/330, 47/120, 95/176, 577/880]","[0, 517/1731, 808/1731, 1034/1731, 475/577, 1]"
"[0, 3676/18135, 119881/435240, 7352/18135, 9379/18135, 250877/435240]","[0, 1, 315359/347016, 10783/14459, 8756/14459, 184363/347016]"
"[0, 3676/18135, 119881/435240, 7352/18135, 9379/18135, 250877/435240]","[0, 88224/119881, 1, 258792/315359, 19104/28669, 184363/315359]"
"[0, 3676/18135, 119881/435240, 7352/18135, 9379/18135, 250877/435240]","[0, 1/2, 119881/176448, 1, 8756/10783, 701/984]"
"[0, 3676/18135, 119881/435240, 7352/18135, 9379/18135, 250877/435240]","[0, 3676/9379, 119881/225096, 7352/9379, 1, 184363/210144]"
"[0, 3676/18135, 119881/435240, 7352/18135, 9379/18135, 250877/435240]","[0, 88224/250877, 119881/250877, 176448/250877, 225096/250877, 1]"
"[0, 80051/398580, 226283/797160, 80051/199290, 17362/33215, 226283/398580]","[0, 1, 33581/37474, 238478/318529, 190236/318529, 172297/318529]"
"[0, 80051/398580, 226283/797160, 80051/199290, 17362/33215, 226283/398580]","[0, 160102/226283, 1, 476956/570877, 380472/570877, 344594/570877]"
"[0, 80051/398580, 226283/797160, 80051/199290, 17362/33215, 226283/398580]","[0, 1/2, 226283/320204, 1, 95118/119239, 172297/238478]"
"[0, 80051/398580, 226283/797160, 80051/199290, 17362/33215, 226283/398580]","[0, 80051/208344, 226283/416688, 80051/104172, 1, 172297/190236]"
"[0, 80051/398580, 226283/797160, 80051/199290, 17362/33215, 226283/398580]","[0, 80051/226283, 1/2, 160102/226283, 208344/226283, 1]"
"[0, 6037/31200, 3829/12480, 6037/15600, 16409/31200, 35287/62400]","[0, 1, 43255/50326, 19126/25163, 14791/25163, 27113/50326]"
"[0, 6037/31200, 3829/12480, 6037/15600, 16409/31200, 35287/62400]","[0, 12074/19145, 1, 38252/43255, 29582/43255, 27113/43255]"
"[0, 6037/31200, 3829/12480, 6037/15600, 16409/31200, 35287/62400]","[0, 1/2, 19145/24148, 1, 14791/19126, 27113/38252]"
"[0, 6037/31200, 3829/12480, 6037/15600, 16409/31200, 35287/62400]","[0, 6037/16409, 19145/32818, 12074/16409, 1, 27113/29582]"
"[0, 6037/31200, 3829/12480, 6037/15600, 16409/31200, 35287/62400]","[0, 12074/35287, 2735/5041, 24148/35287, 32818/35287, 1]"
"[0, 834487/4240080, 834059/2826720, 834487/2120040, 568033/1060020, 55243/88335]","[0, 1, 5977983/6811186, 2571106/3405593, 1967948/3405593, 1588416/3405593]"
"[0, 834487/4240080, 834059/2826720, 834487/2120040, 568033/1060020, 55243/88335]","[0, 1668974/2502177, 1, 5142212/5977983, 3935896/5977983, 1058944/1992661]"
"[0, 834487/4240080, 834059/2826720, 834487/2120040, 568033/1060020, 55243/88335]","[0, 1/2, 2502177/3337948, 1, 983974/1285553, 794208/1285553]"
"[0, 834487/4240080, 834059/2826720, 834487/2120040, 568033/1060020, 55243/88335]","[0, 834487/2272132, 2502177/4544264, 834487/1136066, 1, 397104/491987]"
"[0, 834487/4240080, 834059/2826720, 834487/2120040, 568033/1060020, 55243/88335]","[0, 834487/2651664, 834059/1767776, 834487/1325832, 568033/662916, 1]"
"[0, 13417/67860, 113539/361920, 13417/33930, 147061/271440, 113539/180960]","[0, 1, 745143/871088, 41026/54443, 124379/217772, 202263/435544]"
"[0, 13417/67860, 113539/361920, 13417/33930, 147061/271440, 113539/180960]","[0, 214672/340617, 1, 656416/745143, 497516/745143, 134842/248381]"
"[0, 13417/67860, 113539/361920, 13417/33930, 147061/271440, 113539/180960]","[0, 1/2, 340617/429344, 1, 124379/164104, 202263/328208]"
"[0, 13417/67860, 113539/361920, 13417/33930, 147061/271440, 113539/180960]","[0, 53668/147061, 340617/588244, 107336/147061, 1, 202263/248758]"
"[0, 13417/67860, 113539/361920, 13417/33930, 147061/271440, 113539/180960]","[0, 107336/340617, 1/2, 214672/340617, 294122/340617, 1]"
"[0, 9541/48906, 108401/326040, 9541/24453, 6101/11115, 3411/5434]","[0, 1, 652917/787300, 29824/39365, 110308/196825, 18207/39365]"
"[0, 9541/48906, 108401/326040, 9541/24453, 6101/11115, 3411/5434]","[0, 190820/325203, 1, 596480/652917, 441232/652917, 121380/217639]"
"[0, 9541/48906, 108401/326040, 9541/24453, 6101/11115, 3411/5434]","[0, 1/2, 325203/381640, 1, 27577/37280, 18207/29824]"
"[0, 9541/48906, 108401/326040, 9541/24453, 6101/11115, 3411/5434]","[0, 47705/134222, 325203/536888, 47705/67111, 1, 91035/110308]"
"[0, 9541/48906, 108401/326040, 9541/24453, 6101/11115, 3411/5434]","[0, 9541/30699, 108401/204660, 19082/30699, 134222/153495, 1]"
"[0, 84619/420420, 21677/76440, 84619/210210, 18308/35035, 505039/840840]","[0, 1, 602393/671602, 251182/335801, 200724/335801, 1/2]"
"[0, 84619/420420, 21677/76440, 84619/210210, 18308/35035, 505039/840840]","[0, 169238/238447, 1, 502364/602393, 401448/602393, 335801/602393]"
"[0, 84619/420420, 21677/76440, 84619/210210, 18308/35035, 505039/840840]","[0, 1/2, 238447/338476, 1, 100362/125591, 335801/502364]"
"[0, 84619/420420, 21677/76440, 84619/210210, 18308/35035, 505039/840840]","[0, 84619/219696, 238447/439392, 84619/109848, 1, 335801/401448]"
"[0, 84619/420420, 21677/76440, 84619/210210, 18308/35035, 505039/840840]","[0, 169238/505039, 238447/505039, 338476/505039, 439392/505039, 1]"
"[0, 7339/37050, 44389/148200, 7339/18525, 3291/6175, 44389/74100]","[0, 1, 103811/118844, 22372/29711, 17304/29711, 1/2]"
"[0, 7339/37050, 44389/148200, 7339/18525, 3291/6175, 44389/74100]","[0, 29356/44389, 1, 89488/103811, 69216/103811, 59422/103811]"
"[0, 7339/37050, 44389/148200, 7339/18525, 3291/6175, 44389/74100]","[0, 1/2, 44389/58712, 1, 618/799, 29711/44744]"
"[0, 7339/37050, 44389/148200, 7339/18525, 3291/6175, 44389/74100]","[0, 7339/19746, 44389/78984, 7339/9873, 1, 29711/34608]"
"[0, 7339/37050, 44389/148200, 7339/18525, 3291/6175, 44389/74100]","[0, 14678/44389, 1/2, 29356/44389, 39492/44389, 1]"
"[0, 9764/50505, 8633/26936, 19528/50505, 9056/16835, 60269/101010]","[0, 1, 274545/325928, 30977/40741, 23337/40741, 1/2]"
"[0, 9764/50505, 8633/26936, 19528/50505, 9056/16835, 60269/101010]","[0, 78112/129495, 1, 247816/274545, 20744/30505, 162964/274545]"
"[0, 9764/50505, 8633/26936, 19528/50505, 9056/16835, 60269/101010]","[0, 1/2, 129495/156224, 1, 23337/30977, 40741/61954]"
"[0, 9764/50505, 8633/26936, 19528/50505, 9056/16835, 60269/101010]","[0, 2441/6792, 43165/72448, 2441/3396, 1, 40741/46674]"
"[0, 9764/50505, 8633/26936, 19528/50505, 9056/16835, 60269/101010]","[0, 19528/60269, 129495/241076, 39056/60269, 54336/60269, 1]"
"[0, 108859/536760, 11961/39760, 108859/268380, 36809/67095, 241541/357840]","[0, 1, 750573/855802, 319042/427901, 242288/427901, 348897/855802]"
"[0, 108859/536760, 11961/39760, 108859/268380, 36809/67095, 241541/357840]","[0, 217718/322947, 1, 638084/750573, 484576/750573, 116299/250191]"
"[0, 108859/536760, 11961/39760, 108859/268380, 36809/67095, 241541/357840]","[0, 1/2, 322947/435436, 1, 121144/159521, 348897/638084]"
"[0, 108859/536760, 11961/39760, 108859/268380, 36809/67095, 241541/357840]","[0, 108859/294472, 322947/588944, 108859/147236, 1, 18363/25504]"
"[0, 108859/536760, 11961/39760, 108859/268380, 36809/67095, 241541/357840]","[0, 217718/724623, 107649/241541, 435436/724623, 588944/724623, 1]"
"[0, 24319/120960, 2297/6720, 24319/60480, 68647/120960, 2297/3360]","[0, 1, 79614/96641, 72322/96641, 52313/96641, 38268/96641]"
"[0, 24319/120960, 2297/6720, 24319/60480, 68647/120960, 2297/3360]","[0, 24319/41346, 1, 36161/39807, 52313/79614, 2126/4423]"
"[0, 24319/120960, 2297/6720, 24319/60480, 68647/120960, 2297/3360]","[0, 1/2, 20673/24319, 1, 52313/72322, 19134/36161]"
"[0, 24319/120960, 2297/6720, 24319/60480, 68647/120960, 2297/3360]","[0, 24319/68647, 41346/68647, 48638/68647, 1, 38268/52313]"
"[0, 24319/120960, 2297/6720, 24319/60480, 68647/120960, 2297/3360]","[0, 24319/82692, 1/2, 24319/41346, 68647/82692, 1]"
"[0, 32771/163170, 2547/7252, 32771/81585, 46714/81585, 12441/18130]","[0, 1, 211725/260798, 97628/130399, 69742/130399, 51201/130399]"
"[0, 32771/163170, 2547/7252, 32771/81585, 46714/81585, 12441/18130]","[0, 65542/114615, 1, 195256/211725, 139484/211725, 11378/23525]"
"[0, 32771/163170, 2547/7252, 32771/81585, 46714/81585, 12441/18130]","[0, 1/2, 114615/131084, 1, 34871/48814, 51201/97628]"
"[0, 32771/163170, 2547/7252, 32771/81585, 46714/81585, 12441/18130]","[0, 32771/93428, 114615/186856, 32771/46714, 1, 51201/69742]"
"[0, 32771/163170, 2547/7252, 32771/81585, 46714/81585, 12441/18130]","[0, 32771/111969, 4245/8294, 65542/111969, 93428/111969, 1]"
"[0, 10337/51660, 429/1435, 10337/25830, 7019/12915, 932/1435]","[0, 1, 36216/41323, 30986/41323, 23584/41323, 18108/41323]"
"[0, 10337/51660, 429/1435, 10337/25830, 7019/12915, 932/1435]","[0, 10337/15444, 1, 15493/18108, 2948/4527, 1/2]"
"[0, 10337/51660, 429/1435, 10337/25830, 7019/12915, 932/1435]","[0, 1/2, 7722/10337, 1, 11792/15493, 9054/15493]"
"[0, 10337/51660, 429/1435, 10337/25830, 7019/12915, 932/1435]","[0, 10337/28076, 3861/7019, 10337/14038, 1, 4527/5896]"
"[0, 10337/51660, 429/1435, 10337/25830, 7019/12915, 932/1435]","[0, 10337/33552, 429/932, 10337/16776, 7019/8388, 1]"
"[0, 71/360, 1/3, 71/180, 5/9, 2/3]","[0, 1, 240/289, 218/289, 160/289, 120/289]"
"[0, 71/360, 1/3, 71/180, 5/9, 2/3]","[0, 71/120, 1, 109/120, 2/3, 1/2]"
"[0, 71/360, 1/3, 71/180, 5/9, 2/3]","[0, 1/2, 60/71, 1, 80/109, 60/109]"
"[0, 71/360, 1/3, 71/180, 5/9, 2/3]","[0, 71/200, 3/5, 71/100, 1, 3/4]"
"[0, 71/360, 1/3, 71/180, 5/9, 2/3]","[0, 71/240, 1/2, 71/120, 5/6, 1]"
"[0, 89/450, 7/20, 89/225, 1019/1800, 27/40]","[0, 1, 585/722, 272/361, 781/1444, 585/1444]"
"[0, 89/450, 7/20, 89/225, 1019/1800, 27/40]","[0, 178/315, 1, 544/585, 781/1170, 1/2]"
"[0, 89/450, 7/20, 89/225, 1019/1800, 27/40]","[0, 1/2, 315/356, 1, 781/1088, 585/1088]"
"[0, 89/450, 7/20, 89/225, 1019/1800, 27/40]","[0, 356/1019, 630/1019, 712/1019, 1, 585/781]"
"[0, 89/450, 7/20, 89/225, 1019/1800, 27/40]","[0, 356/1215, 14/27, 712/1215, 1019/1215, 1]"
"[0, 121/600, 1559/5400, 121/300, 2917/5400, 661/1080]","[0, 1, 3841/4311, 358/479, 2483/4311, 2095/4311]"
"[0, 121/600, 1559/5400, 121/300, 2917/5400, 661/1080]","[0, 1089/1559, 1, 3222/3841, 2483/3841, 2095/3841]"
"[0, 121/600, 1559/5400, 121/300, 2917/5400, 661/1080]","[0, 1/2, 1559/2178, 1, 2483/3222, 2095/3222]"
"[0, 121/600, 1559/5400, 121/300, 2917/5400, 661/1080]","[0, 1089/2917, 1559/2917, 2178/2917, 1, 2095/2483]"
"[0, 121/600, 1559/5400, 121/300, 2917/5400, 661/1080]","[0, 1089/3305, 1559/3305, 2178/3305, 2917/3305, 1]"
"[0, 3533/17640, 589/1960, 3533/8820, 9599/17640, 589/980]","[0, 1, 12339/14107, 10574/14107, 8041/14107, 7038/14107]"
"[0, 3533/17640, 589/1960, 3533/8820, 9599/17640, 589/980]","[0, 3533/5301, 1, 10574/12339, 8041/12339, 782/1371]"
"[0, 3533/17640, 589/1960, 3533/8820, 9599/17640, 589/980]","[0, 1/2, 5301/7066, 1, 473/622, 207/311]"
"[0, 3533/17640, 589/1960, 3533/8820, 9599/17640, 589/980]","[0, 3533/9599, 5301/9599, 7066/9599, 1, 414/473]"
"[0, 3533/17640, 589/1960, 3533/8820, 9599/17640, 589/980]","[0, 3533/10602, 1/2, 3533/5301, 9599/10602, 1]"
"[0, 27263/138600, 3763/11550, 27263/69300, 9553/17325, 1157/1925]","[0, 1, 93444/111337, 84074/111337, 62176/111337, 55296/111337]"
"[0, 27263/138600, 3763/11550, 27263/69300, 9553/17325, 1157/1925]","[0, 27263/45156, 1, 42037/46722, 15544/23361, 4608/7787]"
"[0, 27263/138600, 3763/11550, 27263/69300, 9553/17325, 1157/1925]","[0, 1/2, 22578/27263, 1, 31088/42037, 27648/42037]"
"[0, 27263/138600, 3763/11550, 27263/69300, 9553/17325, 1157/1925]","[0, 27263/76424, 11289/19106, 27263/38212, 1, 1728/1943]"
"[0, 27263/138600, 3763/11550, 27263/69300, 9553/17325, 1157/1925]","[0, 27263/83304, 3763/6942, 27263/41652, 9553/10413, 1]"
"[0, 27/140, 361/1155, 27/70, 23/42, 1123/1540]","[0, 1, 3176/3729, 86/113, 190/339, 417/1243]"
"[0, 27/140, 361/1155, 27/70, 23/42, 1123/1540]","[0, 891/1444, 1, 1419/1588, 1045/1588, 1251/3176]"
"[0, 27/140, 361/1155, 27/70, 23/42, 1123/1540]","[0, 1/2, 722/891, 1, 95/129, 417/946]"
"[0, 27/140, 361/1155, 27/70, 23/42, 1123/1540]","[0, 81/230, 722/1265, 81/115, 1, 1251/2090]"
"[0, 27/140, 361/1155, 27/70, 23/42, 1123/1540]","[0, 297/1123, 1444/3369, 594/1123, 2530/3369, 1]"
"[0, 103/525, 2263/6300, 206/525, 359/630, 2263/3150]","[0, 1, 4037/5064, 319/422, 1355/2532, 887/2532]"
"[0, 103/525, 2263/6300, 206/525, 359/630, 2263/3150]","[0, 1236/2263, 1, 348/367, 2710/4037, 1774/4037]"
"[0, 103/525, 2263/6300, 206/525, 359/630, 2263/3150]","[0, 1/2, 2263/2472, 1, 1355/1914, 887/1914]"
"[0, 103/525, 2263/6300, 206/525, 359/630, 2263/3150]","[0, 618/1795, 2263/3590, 1236/1795, 1, 887/1355]"
"[0, 103/525, 2263/6300, 206/525, 359/630, 2263/3150]","[0, 618/2263, 1/2, 1236/2263, 1795/2263, 1]"
"[0, 62/315, 10183/27720, 124/315, 2659/4620, 991/1386]","[0, 1, 17537/22264, 191/253, 5883/11132, 1975/5566]"
"[0, 62/315, 10183/27720, 124/315, 2659/4620, 991/1386]","[0, 5456/10183, 1, 16808/17537, 11766/17537, 7900/17537]"
"[0, 62/315, 10183/27720, 124/315, 2659/4620, 991/1386]","[0, 1/2, 10183/10912, 1, 5883/8404, 1975/4202]"
"[0, 62/315, 10183/27720, 124/315, 2659/4620, 991/1386]","[0, 2728/7977, 10183/15954, 5456/7977, 1, 3950/5883]"
"[0, 62/315, 10183/27720, 124/315, 2659/4620, 991/1386]","[0, 1364/4955, 10183/19820, 2728/4955, 7977/9910, 1]"
"[0, 6443/32340, 9973/32340, 6443/16170, 4426/8085, 22613/32340]","[0, 1, 22367/25897, 19454/25897, 14636/25897, 9727/25897]"
"[0, 6443/32340, 9973/32340, 6443/16170, 4426/8085, 22613/32340]","[0, 6443/9973, 1, 19454/22367, 14636/22367, 9727/22367]"
"[0, 6443/32340, 9973/32340, 6443/16170, 4426/8085, 22613/32340]","[0, 1/2, 9973/12886, 1, 7318/9727, 1/2]"
"[0, 6443/32340, 9973/32340, 6443/16170, 4426/8085, 22613/32340]","[0, 6443/17704, 9973/17704, 6443/8852, 1, 9727/14636]"
"[0, 6443/32340, 9973/32340, 6443/16170, 4426/8085, 22613/32340]","[0, 6443/22613, 9973/22613, 12886/22613, 17704/22613, 1]"
"[0, 41/210, 73/210, 41/105, 629/1120, 73/105]","[0, 1, 137/169, 128/169, 1473/2704, 64/169]"
"[0, 41/210, 73/210, 41/105, 629/1120, 73/105]","[0, 41/73, 1, 128/137, 1473/2192, 64/137]"
"[0, 41/210, 73/210, 41/105, 629/1120, 73/105]","[0, 1/2, 73/82, 1, 1473/2048, 1/2]"
"[0, 41/210, 73/210, 41/105, 629/1120, 73/105]","[0, 656/1887, 1168/1887, 1312/1887, 1, 1024/1473]"
"[0, 41/210, 73/210, 41/105, 629/1120, 73/105]","[0, 41/146, 1/2, 41/73, 1887/2336, 1]"
"[0, 103/525, 3781/10500, 206/525, 499/875, 731/1050]","[0, 1, 6719/8440, 319/422, 564/1055, 319/844]"
"[0, 103/525, 3781/10500, 206/525, 499/875, 731/1050]","[0, 2060/3781, 1, 6380/6719, 4512/6719, 3190/6719]"
"[0, 103/525, 3781/10500, 206/525, 499/875, 731/1050]","[0, 1/2, 3781/4120, 1, 1128/1595, 1/2]"
"[0, 103/525, 3781/10500, 206/525, 499/875, 731/1050]","[0, 515/1497, 3781/5988, 1030/1497, 1, 1595/2256]"
"[0, 103/525, 3781/10500, 206/525, 499/875, 731/1050]","[0, 206/731, 3781/7310, 412/731, 2994/3655, 1]"
"[0, 809/4025, 28447/96600, 1618/4025, 17471/32200, 12461/19320]","[0, 1, 68153/77184, 2407/3216, 14729/25728, 34295/77184]"
"[0, 809/4025, 28447/96600, 1618/4025, 17471/32200, 12461/19320]","[0, 19416/28447, 1, 57768/68153, 44187/68153, 1805/3587]"
"[0, 809/4025, 28447/96600, 1618/4025, 17471/32200, 12461/19320]","[0, 1/2, 28447/38832, 1, 14729/19256, 34295/57768]"
"[0, 809/4025, 28447/96600, 1618/4025, 17471/32200, 12461/19320]","[0, 6472/17471, 28447/52413, 12944/17471, 1, 34295/44187]"
"[0, 809/4025, 28447/96600, 1618/4025, 17471/32200, 12461/19320]","[0, 19416/62305, 28447/62305, 38832/62305, 52413/62305, 1]"
"[0, 6443/32340, 9973/32340, 6443/16170, 4426/8085, 9973/16170]","[0, 1, 22367/25897, 19454/25897, 14636/25897, 12394/25897]"
"[0, 6443/32340, 9973/32340, 6443/16170, 4426/8085, 9973/16170]","[0, 6443/9973, 1, 19454/22367, 14636/22367, 12394/22367]"
"[0, 6443/32340, 9973/32340, 6443/16170, 4426/8085, 9973/16170]","[0, 1/2, 9973/12886, 1, 7318/9727, 6197/9727]"
"[0, 6443/32340, 9973/32340, 6443/16170, 4426/8085, 9973/16170]","[0, 6443/17704, 9973/17704, 6443/8852, 1, 6197/7318]"
"[0, 6443/32340, 9973/32340, 6443/16170, 4426/8085, 9973/16170]","[0, 6443/19946, 1/2, 6443/9973, 8852/9973, 1]"
"[0, 23869/121800, 463/1400, 23869/60900, 16853/30450, 37229/60900]","[0, 1, 81519/97931, 74062/97931, 54388/97931, 47342/97931]"
"[0, 23869/121800, 463/1400, 23869/60900, 16853/30450, 37229/60900]","[0, 23869/40281, 1, 74062/81519, 54388/81519, 47342/81519]"
"[0, 23869/121800, 463/1400, 23869/60900, 16853/30450, 37229/60900]","[0, 1/2, 40281/47738, 1, 27194/37031, 23671/37031]"
"[0, 23869/121800, 463/1400, 23869/60900, 16853/30450, 37229/60900]","[0, 23869/67412, 40281/67412, 23869/33706, 1, 23671/27194]"
"[0, 23869/121800, 463/1400, 23869/60900, 16853/30450, 37229/60900]","[0, 23869/74458, 40281/74458, 23869/37229, 33706/37229, 1]"
"[0, 2393/12210, 1867/6105, 2393/6105, 1099/2035, 9839/12210]","[0, 1, 8476/9817, 7424/9817, 5616/9817, 2371/9817]"
"[0, 2393/12210, 1867/6105, 2393/6105, 1099/2035, 9839/12210]","[0, 2393/3734, 1, 1856/2119, 108/163, 2371/8476]"
"[0, 2393/12210, 1867/6105, 2393/6105, 1099/2035, 9839/12210]","[0, 1/2, 1867/2393, 1, 351/464, 2371/7424]"
"[0, 2393/12210, 1867/6105, 2393/6105, 1099/2035, 9839/12210]","[0, 2393/6594, 1867/3297, 2393/3297, 1, 2371/5616]"
"[0, 2393/12210, 1867/6105, 2393/6105, 1099/2035, 9839/12210]","[0, 2393/9839, 3734/9839, 4786/9839, 6594/9839, 1]"
"[0, 2603/13320, 508/1665, 2603/6660, 1199/2220, 1016/1665]","[0, 1, 9256/10717, 8114/10717, 6126/10717, 5192/10717]"
"[0, 2603/13320, 508/1665, 2603/6660, 1199/2220, 1016/1665]","[0, 2603/4064, 1, 4057/4628, 3063/4628, 649/1157]"
"[0, 2603/13320, 508/1665, 2603/6660, 1199/2220, 1016/1665]","[0, 1/2, 2032/2603, 1, 3063/4057, 2596/4057]"
"[0, 2603/13320, 508/1665, 2603/6660, 1199/2220, 1016/1665]","[0, 2603/7194, 2032/3597, 2603/3597, 1, 2596/3063]"
"[0, 2603/13320, 508/1665, 2603/6660, 1199/2220, 1016/1665]","[0, 2603/8128, 1/2, 2603/4064, 3597/4064, 1]"
"[0, 123/640, 619/1920, 123/320, 521/960, 19/32]","[0, 1, 1301/1551, 394/517, 878/1551, 260/517]"
"[0, 123/640, 619/1920, 123/320, 521/960, 19/32]","[0, 369/619, 1, 1182/1301, 878/1301, 780/1301]"
"[0, 123/640, 619/1920, 123/320, 521/960, 19/32]","[0, 1/2, 619/738, 1, 439/591, 130/197]"
"[0, 123/640, 619/1920, 123/320, 521/960, 19/32]","[0, 369/1042, 619/1042, 369/521, 1, 390/439]"
"[0, 123/640, 619/1920, 123/320, 521/960, 19/32]","[0, 123/380, 619/1140, 123/190, 521/570, 1]"
"[0, 293/1500, 37/125, 293/750, 8/15, 2039/3000]","[0, 1, 1056/1207, 914/1207, 700/1207, 961/2414]"
"[0, 293/1500, 37/125, 293/750, 8/15, 2039/3000]","[0, 293/444, 1, 457/528, 175/264, 961/2112]"
"[0, 293/1500, 37/125, 293/750, 8/15, 2039/3000]","[0, 1/2, 222/293, 1, 350/457, 961/1828]"
"[0, 293/1500, 37/125, 293/750, 8/15, 2039/3000]","[0, 293/800, 111/200, 293/400, 1, 961/1400]"
"[0, 293/1500, 37/125, 293/750, 8/15, 2039/3000]","[0, 586/2039, 888/2039, 1172/2039, 1600/2039, 1]"
"[0, 17317/96120, 58127/192240, 17317/48060, 2099/4005, 8911/12015]","[0, 1, 134113/157606, 61486/78803, 45744/78803, 24832/78803]"
"[0, 17317/96120, 58127/192240, 17317/48060, 2099/4005, 8911/12015]","[0, 34634/58127, 1, 122972/134113, 91488/134113, 49664/134113]"
"[0, 17317/96120, 58127/192240, 17317/48060, 2099/4005, 8911/12015]","[0, 1/2, 58127/69268, 1, 22872/30743, 12416/30743]"
"[0, 17317/96120, 58127/192240, 17317/48060, 2099/4005, 8911/12015]","[0, 17317/50376, 58127/100752, 17317/25188, 1, 1552/2859]"
"[0, 17317/96120, 58127/192240, 17317/48060, 2099/4005, 8911/12015]","[0, 17317/71288, 58127/142576, 17317/35644, 6297/8911, 1]"
"[0, 2017/10920, 953/3120, 2017/5460, 242/455, 2017/2730]","[0, 1, 15169/17806, 6886/8903, 5112/8903, 2852/8903]"
"[0, 2017/10920, 953/3120, 2017/5460, 242/455, 2017/2730]","[0, 4034/6671, 1, 1252/1379, 10224/15169, 5704/15169]"
"[0, 2017/10920, 953/3120, 2017/5460, 242/455, 2017/2730]","[0, 1/2, 6671/8068, 1, 2556/3443, 1426/3443]"
"[0, 2017/10920, 953/3120, 2017/5460, 242/455, 2017/2730]","[0, 2017/5808, 6671/11616, 2017/2904, 1, 713/1278]"
"[0, 2017/10920, 953/3120, 2017/5460, 242/455, 2017/2730]","[0, 1/4, 6671/16136, 1/2, 1452/2017, 1]"
"[0, 20819/106800, 66199/213600, 20819/53400, 4841/8900, 7811/10680]","[0, 1, 147401/171962, 65162/85981, 48708/85981, 28690/85981]"
"[0, 20819/106800, 66199/213600, 20819/53400, 4841/8900, 7811/10680]","[0, 41638/66199, 1, 130324/147401, 97416/147401, 57380/147401]"
"[0, 20819/106800, 66199/213600, 20819/53400, 4841/8900, 7811/10680]","[0, 1/2, 66199/83276, 1, 24354/32581, 14345/32581]"
"[0, 20819/106800, 66199/213600, 20819/53400, 4841/8900, 7811/10680]","[0, 20819/58092, 66199/116184, 20819/29046, 1, 14345/24354]"
"[0, 20819/106800, 66199/213600, 20819/53400, 4841/8900, 7811/10680]","[0, 20819/78110, 66199/156220, 20819/39055, 29046/39055, 1]"
"[0, 799/4200, 187/600, 799/2100, 381/700, 1849/2100]","[0, 1, 2891/3401, 2602/3401, 1914/3401, 502/3401]"
