0,13/75,26/75,151/300
0,89/504,593/1008,59/84
0,13/75,44/75,119/150
0,89/504,593/1008,893/1008
0,8/45,53/90,143/180
0,3/10,49/60,13/15
0,3/10,37/45,41/45
0,3/10,49/60,19/20
0,7/24,31/36,67/72
0,25/84,17/42,193/336
0,1/4,11/32,1/2
0,7/36,4/15,7/18
0,14/55,43/110,291/440
0,29/112,5/14,141/224
0,25/98,17/49,193/392
0,29/112,5/14,19/28
0,29/112,5/14,93/112
0,29/112,5/14,59/112
0,343/1440,173/480,1661/2880
0,61/210,169/420,61/105
0,63/176,1379/3168,1891/3168
0,7/40,21/80,1/2
0,1/4,3/8,1/2
0,13/40,33/80,1/2
0,3/22,9/44,43/110
0,13/72,13/48,13/36
0,14/55,71/220,43/110
0,7283/27456,697/1716,18301/27456
0,569/1632,23/51,569/816
0,323/840,97/210,149/210
0,95/396,571/1584,491/792
0,1/3,23/54,2/3
0,121/312,35/78,433/624
0,149/720,79/240,1481/2880
0,101/420,37/105,101/210
0,115/352,40/99,1693/3168
0,11/49,33/98,71/98
0,29/112,5/14,29/56
0,19/60,7/18,23/45
0,439/1680,229/630,1019/1260
0,497/1248,35/78,497/624
0,173/408,47/102,401/510
0,209/840,37/105,71/105
0,283/792,85/198,283/396
0,193/480,9/20,29/40
0,125/576,191/576,107/192
0,265/1008,139/378,265/504
0,835/2496,379/936,1033/1872
0,2195/13104,737/3276,1789/3276
0,1909/9240,643/2310,643/1155
0,1441/5040,163/420,2893/5040
0,29/224,5/28,1/2
0,13/72,1/4,1/2
0,21/80,29/80,1/2
0,61/600,7/50,59/150
0,55/416,19/104,19/52
0,173/792,139/462,41/99
0,17/105,31/126,38/63
0,93/448,425/1344,425/672
0,41/154,377/924,9895/14784
0,9/56,73/336,65/112
0,71/315,193/630,193/315
0,37/126,407/1008,163/252
0,172/1365,232/1365,1243/2730
0,38/231,103/462,103/231
0,313/1134,71/189,2389/4536
0,1/5,11/40,31/40
0,29/112,5/14,5/7
0,29/98,20/49,30/49
0,17/80,281/960,769/960
0,25/84,415/1008,415/504
0,47/144,4/9,115/144
0,15/88,31/132,163/264
0,13/54,1/3,2/3
0,43/140,44/105,149/210
0,2/15,11/60,29/60
0,7/40,29/120,29/60
0,79/280,131/336,953/1680
0,109/510,55/102,235/408
0,29/144,5/9,397/576
0,127/624,43/78,751/1248
0,29/144,5/9,7/9
0,29/144,5/9,127/144
0,29/144,5/9,97/144
0,11/40,11/20,287/480
0,61/210,61/105,201/280
0,113/396,113/198,509/792
0,73/252,73/126,199/252
0,61/210,61/105,373/420
0,61/210,61/105,97/140
0,4/9,5/9,31/48
0,37/96,59/96,3/4
0,53/126,73/126,179/252
0,31/75,44/75,119/150
0,415/1008,593/1008,893/1008
0,37/90,53/90,143/180
0,415/1008,593/1008,59/84
0,299/840,541/840,27/35
0,133/360,227/360,133/180
0,33/80,47/80,89/120
