0,1/2,79/140,22/35,97/140
0,1/2,63/100,69/100,157/200
0,1/2,7/12,2/3,3/4
0,1/2,17/30,83/120,49/60
0,1/2,19/32,43/64,51/64
0,1/2,20/33,173/264,129/176
0,1/2,41/70,47/70,117/140
0,1/2,41/70,47/70,32/35
0,1/2,47/80,27/40,67/80
0,1/2,41/70,47/70,53/70
0,1/2,221/330,509/660,1063/1320
0,1/2,847/1368,1073/1368,389/456
0,1/2,31/48,7/9,79/96
0,1/2,94/147,229/294,523/588
0,1/2,94/147,229/294,277/294
0,1/2,215/336,131/168,299/336
0,1/2,94/147,229/294,41/49
0,1/2,43/64,3/4,51/64
0,1/2,47/80,3/4,67/80
0,1/2,23/36,3/4,59/72
0,1/2,5/8,3/4,7/8
0,1/2,5/8,3/4,14/15
0,1/2,5/8,3/4,49/60
0,1/2,44/75,119/150,509/600
0,1/2,44/75,119/150,269/300
0,1/2,44/75,119/150,189/200
0,1/2,53/90,143/180,323/360
0,1/2,115/168,151/168,311/336
0,1/2,977/1428,1285/1428,2713/2856
0,1/2,115/168,151/168,109/112
0,1/2,172/255,1873/2040,3913/4080
0,1/2,3/4,127/160,67/80
0,1/2,3/4,107/128,115/128
0,1/2,3/4,13/16,7/8
0,1/2,3/4,49/60,109/120
0,1/2,3/4,49/60,137/144
0,1/2,3/4,59/72,131/144
0,1/2,3/4,49/60,623/720
0,1/2,3/4,7/8,131/144
0,1/2,3/4,7/8,15/16
0,1/2,3/4,7/8,139/144
0,1/2,3/4,51/56,419/448
0,1/2,3/4,73/80,153/160
0,1/2,3/4,51/56,437/448
0,1/2,3/4,37/40,77/80
0,1/2,177/220,369/440,48/55
0,1/2,273/340,74/85,1251/1360
0,1/2,59/72,83/96,131/144
0,1/2,31/39,265/312,577/624
0,1/2,181/228,129/152,1751/1824
0,1/2,85/104,361/416,777/832
0,1/2,181/228,129/152,1621/1824
0,1/2,85/104,189/208,777/832
0,1/2,59/72,131/144,275/288
0,1/2,85/104,189/208,811/832
0,1/2,91/108,199/216,415/432
0,1/2,241/300,93/100,1139/1200
0,1/2,177/220,41/44,85/88
0,1/2,241/300,93/100,1177/1200
0,1/2,9/11,333/352,685/704
0,53/90,77/120,25/36,269/360
0,37/63,25/36,125/168,829/1008
0,79/130,35/52,48/65,209/260
0,44/75,77/120,149/200,509/600
0,103/170,231/340,63/85,571/680
0,185/322,107/161,65/92,995/1288
0,95/168,215/336,5/7,6/7
0,35/62,317/496,177/248,459/496
0,127/210,283/420,26/35,61/70
0,35/62,317/496,177/248,391/496
0,27/46,301/414,1343/1656,2779/3312
0,313/546,737/1092,297/364,955/1092
0,23/38,821/1140,47/57,1961/2280
0,131/232,955/1392,281/348,629/696
0,97/172,1415/2064,833/1032,245/258
0,35/58,1243/1740,359/435,397/435
0,97/172,1415/2064,833/1032,295/344
0,103/170,63/85,273/340,571/680
0,127/210,283/420,337/420,61/70
0,33/52,153/208,85/104,361/416
0,10/17,47/68,27/34,61/68
0,44/75,69/100,119/150,189/200
0,43/68,197/272,111/136,247/272
0,44/75,69/100,119/150,509/600
0,109/186,367/558,925/1116,1301/1488
0,37/63,83/126,209/252,461/504
0,109/186,367/558,925/1116,4261/4464
0,53/84,39/56,95/112,207/224
0,221/392,487/672,4289/4704,5865/6272
0,79/140,487/672,3067/3360,6427/6720
0,221/392,487/672,4289/4704,18377/18816
0,41/70,46/63,4699/5040,9739/10080
0,127/210,337/420,703/840,61/70
0,199/330,529/660,287/330,809/880
0,43/68,111/136,469/544,247/272
0,44/75,119/150,509/600,1109/1200
0,65/111,88/111,251/296,3409/3552
0,63/100,163/200,693/800,1493/1600
0,65/111,88/111,251/296,3155/3552
0,63/100,163/200,363/400,1493/1600
0,43/68,111/136,247/272,519/544
0,63/100,163/200,363/400,1559/1600
0,23/34,57/68,125/136,261/272
0,35/58,93/116,539/580,2201/2320
0,127/210,337/420,391/420,811/840
0,35/58,93/116,539/580,455/464
0,53/84,137/168,635/672,1307/1344
0,27/46,463/552,319/368,247/276
0,41/70,703/840,25/28,3137/3360
0,23/38,163/190,679/760,353/380
0,31/54,52/63,659/756,1415/1512
0,313/546,75/91,317/364,4219/4368
0,163/270,77/90,967/1080,2047/2160
0,313/546,75/91,317/364,3953/4368
0,163/270,77/90,167/180,2047/2160
0,23/38,163/190,353/380,733/760
0,163/270,77/90,167/180,2117/2160
0,12/19,269/304,573/608,1181/1216
0,109/186,623/744,701/744,2851/2976
0,27/46,463/552,521/552,1073/1104
0,109/186,623/744,701/744,2929/2976
0,139/230,197/230,881/920,1801/1840
0,5/14,199/378,5/9,937/1512
0,343/1032,1127/2064,1231/2064,5947/8256
0,7/20,113/210,61/105,27/40
0,67/192,307/576,29/48,451/576
0,55/156,211/390,23/39,601/780
0,781/2214,599/1107,649/1107,3013/4428
0,19/54,73/135,79/135,107/135
0,667/1890,512/945,79/135,1691/1890
0,53/150,163/300,44/75,119/150
0,667/1890,512/945,79/135,29/42
0,97/324,43/81,61/108,811/1296
0,119/380,307/570,166/285,119/190
